name,country,speed,price,max_devices,logging_policy,data_encryption,handshake_encryption,trial_available
NEXTGenVPN,Seychelles,5.0,14.57,1,no_logs,AES-256,RSA-2048,no
NolimitVPN,Singapore,5.0,3.65,3,partial_logs,AES-256,RSA-2048,yes
NordVPN,Panama,0.0,4.0,6,no_logs,AES-256,RSA-2048,yes
NVPN,Bosnia,0.0,3.34,1,no_logs,AES-256,RSA-2048,no
OctaneVPN,United States,5.0,2.5,5,partial_logs,AES-256,RSA-2048,no
Opera (Browser) VPN,Norway,5.0,0.0,25,partial_logs,AES-256,RSA-2048,yes
OverPlay,United Kingdom,5.0,8.33,1,no_logs,AES-256,RSA-2048,no
oVPN.se,Sweden,0.0,7.61,4,no_logs,AES-256,AES-256,yes
oVPN.to,nan,0.0,7.3,25,no_logs,AES-256,RSA-4096,no
Perfect Privacy,Switzerland,5.0,13.68,25,no_logs,AES-256,RSA-4096,no
PirateParty.ca,Canada,5.0,10.0,1,no_logs,AES-256,RSA-2048,yes
Private Internet Access,United States,0.0,3.33,5,no_logs,AES-256,RSA-4096,no
PrivatePackets.io,British Indian Ocean,5.0,5.0,25,no_logs,AES-256,RSA-2048,no
PrivateTunnel,United States,0.0,2.5,10,no_logs,AES-256,RSA-2048,yes
PrivateVPN,Sweden,5.0,7.02,4,no_logs,AES-256,AES-256,no
Privatoria.net,Czech Republic,0.0,1.9,5,no_logs,AES-256,RSA-2048,yes
ProXPN,Netherlands,5.0,6.25,1,no_logs,AES-256,RSA-2048,yes
Proxy.sh,Seychelles,0.0,10.0,3,no_logs,AES-256,RSA-4096,no
PRQ,Sweden,5.0,5.5,1,no_logs,AES-256,RSA-2048,no
PureVPN,Hong Kong,0.0,4.17,5,partial_logs,AES-256,RSA-2048,no
RA4W VPN,United States,5.0,1.88,1,no_logs,AES-256,RSA-2048,no
RiseupVPN,United States,0.0,0.0,25,no_logs,AES-256,RSA-2048,no
SaferVPN,United States,9.345,8.99,3,partial_logs,Blowfish-128,RSA-2048,yes
SecureVPN.com,nan,5.0,5.84,5,partial_logs,AES-256,RSA-2048,yes
SecureVPN.to,nan,0.0,6.84,25,no_logs,AES-256,RSA-4096,no
SecurityKISS,Ireland,0.0,8.25,1,partial_logs,AES-256,RSA,yes
Seed4me,Taiwan,5.0,5.5,1,partial_logs,AES-256,RSA-2048,no
